Title,Description
Attack on Titan: THE LAST ATTACK,"A colossal-sized omnibus film bringing together the last two episodes of Attack on Titan in the franchise's first-ever theatrical experience. After venturing beyond the walls and separated from his comrades, Eren finds himself inspired by this new truth and plots the ""Rumbling,"" a terrifying plan to eradicate every living thing in the world. With the fate of the world hanging in the balance, a motley crew of Eren's former comrades and enemies scramble to halt his deadly mission. The only question is, can they stop him?"
Twin Peaks: The Return,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food."
Dekalog,"Originally made for Polish television, “The Decalogue” focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time."
Nirvana: Unplugged In New York,"A live album by American rock band Nirvana, the album features an acoustic performance recorded at Sony Music Studios in New York City on 18 November 1993, for the television series MTV Unplugged."
High and Low,A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.
Ping Pong the Animation,"Makoto 'Smile' Tsukimoto and his friend Yutaka 'Peco' Hoshino have been playing table tennis together since they were kids, but as they enter high school, they find that the game, and how they see it, has changed. Peco, brimming with confidence and energy, wants to be the best in the world, but the reserved Smile has little fighting spirit and doesn't want to sacrifice others' happiness just to win, despite his innate talent. As the two grow, and experience the ups and downs of the sport – and life – they try to figure out exactly who they really are and what drives them to play."
National Theatre Live: Prima Facie,"Tessa is a young, brilliant barrister. From working class origins, she has reached the top of her game. An unexpected event forces her to confront the lines where the patriarchal power of the law, burden of proof and morals diverge."
Berserk,"A wandering, sword-wielding mercenary joins a charismatic leader in his ruthless pursuit of glory and recognition in this epic medieval tale."
Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.
No Other Land,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.
Attack on Titan The Final Chapters: Special 2,"As Eren ruthlessly tramples every inch of the outside world, the Alliance arrives at Fort Salta to intercept the Founder and stop the Rumbling. Although Eren feels immense remorse over his horrific invasion, he believes to harbor noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people. The opposing battalions spiral toward an inevitable final clash that may claim the lives of billions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom."
The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
Attack on Titan The Final Chapters: Special 1,"As The Rumbling advances, the remaining members of the scout regiment race against the clock with their Marleyan and Azumabito allies to catch up to Eren and stop The Rumbling before the rest of the world is crushed under the Wall Titans' feet."
Renaissance: A Film by Beyoncé,"Accentuates the journey of Renaissance World Tour, from its inception, to the opening in Stockholm, Sweden, to the finale in Kansas City, Missouri. It is about Beyoncé’s intention, hard work, involvement in every aspect of the production, her creative mind and purpose to create her legacy, and master her craft. Received with extraordinary acclaim, Beyoncé’s Renaissance World Tour created a sanctuary for freedom, and shared joy, for more than 2.7 million fans."
When They See Us,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park.
Frieren: Beyond Journey's End,"Decades after her party defeated the Demon King, an old friend's funeral launches the elf wizard Frieren on a journey of self-discovery."
Tapping the Wire,"Long-time Wire fan Charlie Brooker takes a journey to the mean streets of Baltimore to meet the cast and crew of the series, and undertakes a mission to explain what makes The Wire the best cop show ever made."
Alice In Chains: MTV Unplugged,"Alice In Chains returned to the stage after a three year absence with this live acoustic performance in New York on 10th April 1996. The band performed a 13-song set, including, 'Heaven Beside You', 'Rooster' and 'Would?'."
Absolutely,"Singer-songwriter Dijon performs tracks from his debut album, in an unraveling recreation of the room it was recorded in."
The Human Condition I: No Greater Love,"After handing in a report on the treatment of Chinese colonial labor, Kaji is offered the post of labor chief at a large mining operation in Manchuria, which also grants him exemption from military service. He accepts, and moves to Manchuria with his newly-wed wife Michiko, but when he tries to put his ideas of more humane treatment into practice, he finds himself at odds with scheming officials, cruel foremen, and the military police."
City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime."
Night and Fog,Filmmaker Alain Resnais documents the atrocities behind the walls of Hitler's concentration camps.
The Beatles: Get Back,"The three-part documentary series, compiled from over 60 hours of unseen footage, captures the warmth, camaraderie, and creative genius that defined the legacy of music's most iconic foursome. The series also includes – for the first time in its entirety – The Beatles' final performance at London's Savile Row."
The Pop Out: Ken & Friends,"Kendrick Lamar, DJ Mustard and various other artists perform in a concert at the LA Forum celebrating Juneteenth and West Coast hip hop."
Paris Is Burning,"Where does voguing come from, and what, exactly, is throwing shade? This landmark documentary provides a vibrant snapshot of the 1980s through the eyes of New York City's African American and Latinx Harlem drag-ball scene. Made over seven years, PARIS IS BURNING offers an intimate portrait of rival fashion ""houses,"" from fierce contests for trophies to house mothers offering sustenance in a world rampant with homophobia, transphobia, racism, AIDS, and poverty. Featuring legendary voguers, drag queens, and trans women — including Willi Ninja, Pepper LaBeija, Dorian Corey, and Venus Xtravaganza."
Yi Yi,"Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries. NJ is morose: his brother owes him money, his mother-in-law is in a coma, his wife suffers a spiritual crisis when she finds her life a blank and his business partners make bad decisions."
Blue Planet II,There is nowhere more powerful and unforgiving yet more beautiful and compelling than the ocean. Join us and explore the greatest yet least known parts of our planet.
Attack on Titan: Chronicle,"In the fourth recap movie, episodes 1 to 59 of the anime are retold, compiling the first Three seasons of Attack on Titan into a two-hour event."
Scavengers Reign,When a deep space freighter is damaged by a solar flare its surviving crew are stranded on a beautiful and unforgiving planet. They begin to learn the true nature of this planet as they try to survive long enough to escape or be rescued.
Fanny and Alexander,"Through the eyes of ten-year-old Alexander, we witness the delights and conflicts of the Ekdahl family, a sprawling bourgeois clan in turn-of-the-twentieth-century Sweden."
Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation."
Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
Jeff Buckley: Live in Chicago,"Jeff Buckley runs through a number of tracks from his debut album 'Grace', as well as idiosyncratic cover versions, at the Cabaret Metro in May, 1995."
The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​"
NANA,"Nana Osaki is a guarded and ambitious young woman with a strong will and a rough past. She is the vocalist for a punk band called Black Stones and she desires fame and recognition more than anything else. Nana Komatsu is an outgoing and flighty young woman with a weak will and a stable past. Her life revolves around her desire to find love and marriage. The two meet for the first time while traveling to Tokyo - in pursuit of their respective dreams - and they later decide to be roommates. Although drastically different people, the two become very close and together they find out if their biggest dreams have room for their best friend."
Cosmos: A Personal Voyage,"Carl Sagan covers a wide range of scientific subjects, including the origin of life and a perspective of our place in the universe."
DJ Mehdi: Made in France,"Self-taught composer, turntable prodigy, and visionary producer, DJ Mehdi was the only French artist to bridge the gap between two seemingly opposing worlds: rap and electro. Thirteen years after his sudden passing, this documentary series, directed by his childhood friend Thibaut de Longeville, sheds light on the role of this free spirit in the rise of these two musical scenes in France during the 1990s and 2000s."
The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
Shoah,"Director Claude Lanzmann spent 11 years on this sprawling documentary about the Holocaust, conducting his own interviews and refusing to use a single frame of archival footage. Dividing Holocaust witnesses into three categories – survivors, bystanders, and perpetrators – Lanzmann presents testimonies from survivors of the Chelmno concentration camp, an Auschwitz escapee, and witnesses of the Warsaw Ghetto Uprising, as well as a chilling report of gas chambers from an SS officer at Treblinka."
Adventure Time,Pen and Jake have to rescue Princess Bubblegum from the antagonistic Ice King.
Reply 1988,Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighbourhood in Seoul.
Ikiru,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life."
One Crazy Summer: A Look Back at Gravity Falls,"A look behind-the-scenes at the making of Gravity Falls, featuring interviews from numerous cast and crew members."
Samurai Champloo,"Break-dancing but fierce warrior Mugen has to deal with the cold-blooded and conceited Jin, a samurai who believes he is above all. These sworn enemies are brought together by Fuu for a special task."
Daft Punk - Alive 2007 - Live Album Concert in Paris,"For the first time in 14 years, experience Daft Punk like never before! The first professionally recorded live show; revived meticulously by remastering and restoring the audio and video.The Alive 2007 show is considered a staple in live performances featuring the signature 'Pyramid' and groundbreaking visuals, which is now complemented by a fully remastered audio track which aims to maximize the experience.This video was subjected to an extensive restoration process. Initially it went through Topaz Video Enhance AI, afterwards it was extensively processed through Davinci Resolve. The total render time is estimated to be 65 hours.Presenting the ultimate authentic Daft Punk experience."
Nirvana the Band the Show,"Musicians Matt and Jay attempt to achieve their dream of playing at a small Toronto venue, the Rivoli, through a series of various schemes and publicity stunts."
Ran,Shakespeare's King Lear is reimagined as a singular historical epic set in sixteenth-century Japan where an aging warlord divides his kingdom between his three sons.
Nathan for You: Finding Frances,Nathan attempts to help a Bill Gates impersonator reunite with his long-lost love.
La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police."
25th Anniversary Studio Ghibli Concert,"Concert held on August 4, 5 and 6, 2008 at the Nippon Budōkan hall in Tokyo to commemorate both the Japanese theatrical release of Ponyo (2008) and the 25 years of musical collaboration between composer Joe Hisaishi and filmmaker Hayao Miyazaki."
"The Good, the Bad and the Ugly","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
The Strokes: MTV $2 Bill Concert,"The seminal live performance by The Strokes, performing on a brightly lit-stage before an intimate audience at Zoetrope Studios in Los Angeles."
Our Planet,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.
A Brighter Summer Day,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan."
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty","A compilation of over 30 years of private home movie footage shot by Lithuanian-American avant-garde director Jonas Mekas, assembled by Mekas ""purely by chance"", without concern for chronological order."
Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured."
Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist."
MTV Unplugged: Fiona Apple,"Aired on July of 1997, this installment in MTV's ""Unplugged"" series sees the legendary Fiona Apple performing a live acoustic show. The performance includes the songs ""Shadowboxer"", ""Sleep to Dream"", and ""Criminal"" off her debut album ""Tidal"", and a cover of ""Angel"" by Jimi Hendrix."
Folklore: The Long Pond Studio Sessions,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time."
The Nightman Cometh: Live,"The Nightman Cometh, the fictional rock opera from It's Always Sunny in Philadelphia, is brought to life at The Troubadour nightclub in April 2009, written by broadway star Charlie Kelly."
The World at War,"A documentary series that gives a historical account of the events of World War II, from its roots in the 1920s to the aftermath and the lives it profoundly influenced."
The Tatami Galaxy,"When a college dropout stops for a late night bite at a mysterious ramen stand, he crosses paths with a self-proclaimed deity of matrimony. This bizarre meeting sends the young man hurtling through a horrifying flashback to his not-so-glorious college days when the influence of a cruel new friend turned him from a hopeless romantic into a mischievous “black cupid.”"
Autumn Sonata,"After a seven-year absence, Charlotte Andergast travels to Sweden to reunite with her daughter Eva. The pair have a troubled relationship: Charlotte sacrificed the responsibilities of motherhood for a career as a classical pianist. Over an emotional night, the pair reopen the wounds of the past. Charlotte gets another shock when she finds out that her mentally impaired daughter, Helena, is out of the asylum and living with Eva."
The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
The History of the Seattle Mariners,"Every team has its highs and lows, frustration, heartbreak, greatness and confusion, but no other team is like this one. The Seattle Mariners are eminently lovable, profoundly human and stunningly, outrageously weird. There is no more fascinating team across the entire history of American sports."
I May Destroy You,"Set in London, where gratification is only an app away, the story centers on Arabella, a carefree, self-assured Londoner with a group of great friends, a boyfriend in Italy, and a burgeoning writing career. But when her drink is spiked, she must question and rebuild every element of her life."
Johanne Sacreblu,"Mexico's response to the French film Emilia Pérez. The real life of French people in a musical made by people in Mexico. It tells the epic tale of baguettes, croissants, stinky cheese, and the difficulties of not taking daily showers."
Arcane: Bridging the Rift,"The story of how Arcane came to be. Learn the origins of Riot Games' relationship with Fortiche Productions, the animation studio behind the series, and how the two teamed up to bring the world of League of Legends to life and create the animated series’ unique story, characters, and style."
VOLCANO,"Featuring a stellar cast and a breathtaking score, ""VOLCANO"" ignites the screen with its explosive performances and emotional depth. Will West returns to play the lead and delivers a mesmerising portrayal, capturing the essence of a conflicted artist torn between loyalty, ambition, and his ongoing romantic narrative with ‘Julia’, played by Mette Linturi. We find them disconnected and on opposing sides of an ongoing dance competition between two groups within our TV Show. The chemistry between the rival dancers crackles with intensity, revealing the complexities of human connection in the face of fierce competition."
Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive."
BLUE EYE SAMURAI,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny."
Okupas,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization."
Neon Genesis Evangelion: The End of Evangelion,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity."
The Vietnam War,"An immersive 360-degree narrative telling the epic story of the Vietnam War as it has never before been told on film. Featuring testimony from nearly 80 witnesses, including many Americans who fought in the war and others who opposed it, as well as Vietnamese combatants and civilians from both the winning and losing sides."
O.J.: Made in America,"A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation."
The Human Condition II: Road to Eternity,"Kaji is sent to the Japanese army labeled Red and is mistreated by the vets. Along his assignment, Kaji witnesses cruelties in the army and revolts against the abusive treatment against the recruit Obara. He also sees his friend Shinjô Ittôhei defecting to the Russian border, and he ends in the front to fight a lost battle against the Russian tanks division."
The 1975 'At Their Very Best' Live from Madison Square Garden,"In support of their fifth studio album 'Being Funny in a Foreign Language', English pop rock band The 1975 perform at New York City's Madison Square Garden on November 7, 2022."
Woman in the Dunes,A vacationing entomologist suffers extreme physical and psychological trauma after being taken captive by the residents of a poor seaside village and made to live with a woman whose life task is shoveling sand for them.
Kendrick Lamar Live: The Big Steppers Tour,"Kendrick Lamar is back and performing live from Paris. Inspired by Lamar’s critically-acclaimed latest album, The Big Steppers Tour is not to be missed."
Panic! at the Disco: Live in Denver,"A concert documentary following Panic! at the Disco during their performance in Denver, Colorado for their headline tour after the release of their debut album, 'A Fever You Can't Sweat Out' in 2005."
There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives."
GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
The Penguin,"With the city in peril following the seawall's collapse, Oswald ""Oz"" Cobb seeks to fill the power vacuum left by the death of Carmine Falcone and finally give his mother Francis the life he's always promised. But first, Oz must confront his enemies and his own demoralizing reputation as ""the Penguin."""
Portishead: Roseland New York,"Portishead concert in the Roseland Ballroom, New York City, on 24th July 1997 with tracks from the albums ""Dummy"" and ""Portishead"" played by the band and a 30 piece orchestra."
My Chemical Romance: The Black Parade Is Dead!,"The Black Parade Is Dead! is MCR's final performance as their onstage characters, the Black Parade. The Black Parade centres around a dying character called The Patient, who reflects on events in his life while he is confronted by Death in the form of his fondest memory, that of his father bringing him to see a marching band. This is based on frontman Gerard Way's belief that death comes to a person in the form of their fondest memory. The band is seen in their Black Parade uniforms throughout the performance, and during the first song ""The End"", Gerard Way is seen taking the role of The Patient, before tearing off his hospital gown to reveal his uniform."
Mario Puzo's The Godfather: The Complete Novel for Television,"A seven-hour chronological edit of The Godfather and The Godfather Part II, expanded with over an hour of restored scenes to trace the Corleone family’s rise from Vito’s youth in Sicily to Michael’s reign in 1950s America, re-edited for its 1977 network television broadcast."
Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.
Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
The Cranes Are Flying,"Veronika and Boris come together in Moscow shortly before World War II. Walking along the river, they watch cranes fly overhead, and promise to rendezvous before Boris leaves to fight. Boris misses the meeting and is off to the front lines, while Veronika waits patiently, sending letters faithfully. After her house is bombed, Veronika moves in with Boris' family, into the company of a cousin with his own intentions."
The Last Dance,"A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names."
Madonna: The Celebration Tour in Rio,Madonna celebrates her four-decade career in a special concert for over 1.6 million people at the Copacabana Beach in Rio de Janeiro.
Veneno,"Adored for her charisma and her free, explicit and fun way of expressing herself, La Veneno gained popularity thanks to her television appearances in the 90s. However, her life and especially her death remain an enigma."
Attack on Titan: The Roar of Awakening,"Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members."
Björk: Vespertine Live at the Royal Opera House,"A live performance by Icelandic singer-songwriter Björk recorded at the Royal Opera House in London, England on December 16, 2001. Björk performs tracks from her fourth studio album ""Vespertine"" along with songs from her previous solo albums."
Andrei Rublev,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again."
The Battle of Algiers,"Paratrooper commander Colonel Mathieu, a former French Resistance fighter during World War II, is sent to Algeria to reinforce efforts to squelch the uprisings of the Algerian War. There he faces Ali la Pointe, a former petty criminal who, as the leader of the Algerian Front de Liberation Nationale, directs terror strategies against the colonial French government occupation. As each side resorts to ever-increasing brutality, no violent act is too unthinkable."
Sherlock: The Reichenbach Fall,Jim Moriarty hatches a mad scheme to turn the whole city against Sherlock.
"history of the entire world, i guess","Hi, you're on a rock, floating in space. Pretty cool, huh? Some of it is water. Actually most of it is water. I can't even get from here to there without buying a boat. It's sad. I'm sad. How did this happen?"
Scenes from a Marriage,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection."
Planet Earth III,"Journeying to the far reaches of our planet, this eight part series follows some of the world's most amazing species, telling extraordinary stories that are dramatic, thrilling, funny and sometimes heart-breaking, but always full of hope."
